(12,284,34.32543012543014)
(12,307,189.0)
(16,19,27.61666666666668)
(16,20,14.524639249639243)
(16,24,126.66509414640126)
(16,27,18.223809523809525)
(16,29,17.120238095238093)
(16,31,7.9714285714285715)
(16,33,112.91386534643067)
(16,34,37.820502278661735)
(16,62,67.22698412698412)
(16,65,16.28852813852813)
(16,68,17.423809523809524)
(16,73,31.30704602415127)
(16,95,189.0)
(16,105,42.48716894532838)
(16,145,83.38636363636363)
(16,208,45.44999999999999)
(16,254,53.02486064659973)
(16,265,31.304761904761914)
(16,463,66.16666666666663)
(16,644,78.0406746031746)
(16,672,43.12117882117883)
(18,41,14.999999999999998)
(18,50,21.0)
(18,321,189.0)
(20,22,17.264357864357855)
(20,24,99.45101008743035)
(20,27,20.33849206349205)
(20,31,11.642063492063484)
(20,33,60.89348616390211)
(20,62,31.239682539682534)
(20,65,4.101190476190476)
(20,73,14.724868990658468)
(20,105,16.073658346713373)
(20,257,26.738095238095234)
(20,275,40.785714285714285)
(20,463,26.404761904761912)
(21,39,96.0)
(21,66,2.5)
(21,146,2.5)
(22,65,15.029437229437214)
(22,73,15.358367509683305)
(24,29,35.459523809523816)
(24,65,81.69109135119575)
(24,74,238.07142857142856)
(24,120,500.21428571428567)
(24,145,105.61363636363635)
(24,532,189.0)
(24,697,189.0)
(26,41,25.53333333333333)
(26,42,8.8)
(26,483,189.0)
(27,29,17.644047619047612)
(27,31,5.842857142857143)
(27,33,89.15049669722845)
(27,34,21.842990885353313)
(27,62,41.11904761904761)
(27,65,17.435714285714276)
(27,68,6.728571428571429)
(27,73,18.87169628616997)
(27,265,14.520238095238092)
(27,660,35.59577352472091)
(27,672,26.685081585081583)
(27,762,189.0)
(29,33,16.426190476190474)
(29,65,4.851190476190476)
(30,475,3857.0)
(30,1620,3724.0)
(31,33,50.37260704302301)
(31,34,24.79865834671339)
(31,62,45.206349206349195)
(31,65,14.316666666666661)
(31,73,20.624868990658467)
(33,65,42.62178797904604)
(33,74,138.46428571428572)
(33,274,189.0)
(36,52,20.914055878761758)
(36,75,189.0)
(39,149,94.0)
(41,50,24.066666666666663)
(41,113,95.76666666666668)
(41,160,189.00000000000003)
(41,192,189.00000000000003)
(41,1256,93.60000000000001)
(43,50,189.0)
(45,277,189.0)
(50,78,56.983333333333334)
(50,113,94.40000000000002)
(50,227,189.0)
(50,328,185.83333333333334)
(50,590,189.0)
(50,1256,95.40000000000002)
(50,1303,189.0)
(54,102,1.0)
(54,125,188.0)
(58,166,2.0)
(60,74,189.0)
(62,2288,189.0)
(65,105,9.034657552019976)
(69,87,2.0)
(69,460,2.0)
(69,1111,189.0)
(74,120,60.785714285714285)
(74,728,189.0)
(87,460,1.0)
(90,114,189.0)
(102,125,188.0)
(105,672,3.3999999999999995)
(111,681,1.0)
(113,328,3.166666666666666)
(114,366,189.0)
(114,723,189.0)
(119,1615,3.0)
(119,2543,3.0)
(120,183,189.0)
